pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode	I	II
Profiling people with Parkinson's disease at risk of cognitive decline: Insights from PPMI and ICICLE‐PD data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11299072/	XML	PPMI	www.ppmi-info.org	Parkinson's Progression Markers Initiative (PPMI) data were used, accessed on November 15, 2022. PPMI is an international, observational, cohort study with almost 50 sites across 13 countries. Eligibility was contingent on a diagnosis of PD no longer than 2 years prior to enrolment and drug naïve status. Participants with young-onset PD (age < 50) and dementia were excluded. Data were available annually from baseline up to year 7. Participants with two or more data points were included, resulting in N= 770 baseline participants. Latent class mixed models were created to identify subgroups with similar longitudinal cognitive trajectories using total MoCA score as the outcome variable.	Parkinson's disease, cognitive decline, longitudinal cohort	Secondary				
Profiling people with Parkinson's disease at risk of cognitive decline: Insights from PPMI and ICICLE‐PD data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11299072/	XML	ICICLE-PD	www.ncbi.nlm.nih.gov	Incidence of Cognitive Impairment in Cohorts with Longitudinal Evaluation-Parkinson's Disease (ICICLE-PD) data were used, accessed on October 10, 2022. ICICLE-PD was conducted in accordance with the Declaration of Helsinki and GCP guidelines. Ethical approval was provided by the Newcastle and North Tyneside Research Ethics Committee. Recruitment took place from the community in Cambridgeshire and Newcastle upon Tyne/Gateshead, United Kingdom. All participants were recently diagnosed people with PD meeting Queen's Square Brain Bank Criteria, with working knowledge of English and no significant baseline cognitive impairment. Data were available every 18-months from baseline to year 4.5. Participants with two or more data points were included, resulting in N= 212 baseline participants. Latent class mixed models were applied to identify cognitive subtypes based on rate of decline in MoCA scores.	Parkinson's disease, cognitive impairment, community-based cohort	Secondary				
Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	XML	PPMI	www.ppmi-info.org	The Michael J Fox Foundation Parkinson's Progression Markers Initiative (PPMI) cohort was used as the discovery cohort. Whole blood total RNA sequencing was performed on 259 PD patients and 161 controls, all with early-stage idiopathic PD (diagnosed <13 months). The study identified differential gene and circular RNA expression between PD patients and controls, with 44 significantly differentially expressed genes identified (log2FC < −0.1/ > 0.1, FDR < 0.05), including TMEM252 and LMNB1 which were upregulated in PD.	Parkinson's disease, whole blood RNA sequencing, early-stage idiopathic PD	Secondary				
Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	XML	ICICLE-PD	www.bam-ncl.co.uk	The Incidence of Cognitive Impairment in Cohorts with Longitudinal Evaluation-PD (ICICLE-PD) cohort was used as the replication cohort. Whole blood total RNA sequencing was performed on 48 early-stage idiopathic PD patients and 48 age and sex-matched controls (diagnosed <13 months). The study replicated findings from PPMI including upregulation of TMEM252 and LMNB1, and confirmed the general reduction in circRNA expression observed in PD patients compared to controls.	Parkinson's disease, whole blood RNA sequencing, circular RNA expression	Secondary				
From aging to Alzheimer’s disease: concordant brain DNA methylation changes in late life	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	XML	syn3157275	synapse.org	ROSMAP (Religious Orders Study and Rush Memory and Aging Project) dataset containing DNA methylation profiles from prefrontal cortex brain samples. The meta-analysis included a total of 332 DNA methylation profiles from prefrontal cortex brain samples in two independent cohorts, the ROSMAP and BDR studies. These datasets can be accessed at the AD Knowledge Portal (accession: syn3157275). The study focused on brain samples from subjects older than 65 years with neurofibrillary tangle (NFT) Braak stages ranging from 0 to 2, indicating minimal or absent AD neuropathology.	DNA methylation, prefrontal cortex, aging, Alzheimer's disease	Secondary	https://www.synapse.org/[#!]*Synapse:syn3157275	Complex download or application to access		
From aging to Alzheimer’s disease: concordant brain DNA methylation changes in late life	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	XML	GSE197305	geo	BDR (Brains for Dementia Research) study dataset containing DNA methylation profiles from prefrontal cortex brain samples. The meta-analysis included a total of 332 DNA methylation profiles from prefrontal cortex brain samples in two independent cohorts, the ROSMAP and BDR studies. These datasets can be accessed at the GEO database (accession: GSE197305). The samples were measured using the Infinium MethylationEPIC BeadChip.	DNA methylation, prefrontal cortex, brain tissue, dementia	Secondary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197305	Complex download		
From aging to Alzheimer’s disease: concordant brain DNA methylation changes in late life	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	XML	GSE59685	geo	London cohort dataset consisting of 69 samples with matched PFC (prefrontal cortex) and blood samples. This dataset was used for integrative analysis to compute Spearman correlations of blood and brain DNAm levels at significant individual CpGs and CpGs located in significant DMRs. The study accounted for confounding factors including estimated neuron proportions for brain samples, estimated blood cell-type proportions for blood samples, batch effects, age at death for brain samples or age at blood draw for blood samples, and sex.	DNA methylation, brain-blood correlation, matched samples	Secondary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59685	Complex download		
From aging to Alzheimer’s disease: concordant brain DNA methylation changes in late life	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	XML	ADNI	adni.loni.usc.edu	Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset used for out-of-sample validation. The study evaluated the predictive value of concordant CpGs for disease progression by performing an out-of-sample validation using the ADNI dataset. These analyses included 538 subjects with available DNAm data and follow-up visit information. Disease progression was defined as the conversion from CU (cognitively unimpaired) to MCI (mild cognitive impairment) or AD, and from MCI to AD. Subjects were followed an average of 5.39 ± 2.94 years, with follow-up durations ranging from 0.44 to 11.71 years. By their last visit, 64 (30.0%) CU subjects had progressed to MCI or AD, and 131 (40.3%) MCI subjects had progressed to AD.	Alzheimer's disease, longitudinal follow-up, cognitive progression, blood DNA methylation	Secondary				
From aging to Alzheimer’s disease: concordant brain DNA methylation changes in late life	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12204281/	XML	GCST90027158	www.ebi.ac.uk	Genome-wide association study (GWAS) summary statistics for genetic variants associated with dementia from Bellenguez et al. (2022). These genome-wide summary statistics were obtained from the European Bioinformatics Institute GWAS Catalog under accession no. GCST90027158. The study used these GWAS data for colocalization analysis to identify whether mQTLs overlapped with genetic risk loci implicated in dementia and to determine whether association signals at these loci were due to a single shared causal variant or distinct causal variants in proximity.	GWAS, dementia, genetic variants, Alzheimer's disease risk loci	Secondary	https://www.ebi.ac.uk/pride/archive/projects/GCST90027158	Complex download		
A brain DNA co‐methylation network analysis of psychosis in Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11815327/	XML	syn23538600	synapse.org	Genome-wide DNA methylation data and genotyping data for the 153 PITT-ADRC samples. The study assessed brain DNA methylation in AD donors with psychosis (AD+P, N=113) and without psychosis (AD−P, N=40) using the EPIC array. Weighted gene correlation network analysis identified modules of co-methylated genes in this discovery cohort, with validation in an independent cohort (BDR: N=79 AD+P, N=117 AD−P). Genetic data were integrated to identify methylation quantitative trait loci (mQTLs).	DNA methylation, Alzheimer's disease psychosis, brain tissue	Primary	https://www.synapse.org/Synapse:syn23538600	Complex download or application to access		
