File Name	source url	File URL	title	content type	id	caption	Keywords	source section	retrieval pattern	context description	File Extension	Source Resource Name	File Format
NIHMS2008642-supplement-1.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11401759/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11401759/bin/NIHMS2008642-supplement-1.docx	No Title	local-data	SD1	No description	1	supplementary material	.//supplementary-material	Supplemental Table 1 [this file] presents age, CES-D score, CES-D subscales, CASI, and fluid and crystallized abilities at follow-up timepoints.	docx	Cross-sectional and longitudinal associations between late-life depressive symptoms and cognitive deficits: 20-year follow-up of the Kuakini Honolulu-Asia Aging Study	XML
NIHMS2008642-supplement-2.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11401759/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11401759/bin/NIHMS2008642-supplement-2.docx	No Title	local-data	SD2	No description	2	supplementary material	.//supplementary-material	Analyses were then repeated for Exam 12 survivors only (N=243; Supplemental Table 2 [this file] ).	docx	Cross-sectional and longitudinal associations between late-life depressive symptoms and cognitive deficits: 20-year follow-up of the Kuakini Honolulu-Asia Aging Study	XML
NIHMS2008642-supplement-3.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11401759/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11401759/bin/NIHMS2008642-supplement-3.docx	No Title	local-data	SD3	No description	3	supplementary material	.//supplementary-material	Similar multiple regression models examined the effects of baseline CES-D subscales on fluid ability ( Table 3 [rid=T3] for the longitudinal sample; Supplemental Table 3 [this file] for survivors) and crystallized ability ( Table 4 [rid=T4] for the longitudinal sample; Supplemental Table 4 [rid=SD4] for survivors).	docx	Cross-sectional and longitudinal associations between late-life depressive symptoms and cognitive deficits: 20-year follow-up of the Kuakini Honolulu-Asia Aging Study	XML
NIHMS2008642-supplement-4.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11401759/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11401759/bin/NIHMS2008642-supplement-4.docx	No Title	local-data	SD4	No description	4	supplementary material	.//supplementary-material	Similar multiple regression models examined the effects of baseline CES-D subscales on fluid ability ( Table 3 [rid=T3] for the longitudinal sample; Supplemental Table 3 [rid=SD3] for survivors) and crystallized ability ( Table 4 [rid=T4] for the longitudinal sample; Supplemental Table 4 [this file] for survivors).	docx	Cross-sectional and longitudinal associations between late-life depressive symptoms and cognitive deficits: 20-year follow-up of the Kuakini Honolulu-Asia Aging Study	XML
NIHMS1983043-supplement-Appendix.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12163906/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12163906/bin/NIHMS1983043-supplement-Appendix.docx	No Title	local-data	SD1	No description	Appendix	supplementary material	.//supplementary-material	"A full description of each risk variable is in Appendix 1 [this file] . 
See Appendix 2 [this file] for a full description of this group. 
Full details of the scoring system are in Appendix 3 [this file] . 
Missing data were rare and therefore complete case analyses were run (see Appendix 4 [this file] for the pattern of missing data for each variable included in the analyses). 
The distribution of the scores for each risk model are shown in Appendix 5 [this file] . 
Full details of the results are in Appendixes 6 [this file]and 7 [this file]. 
The distribution of the scores for each risk model are shown in Appendix 5 [this file] . See Appendixes 8 [this file] - 10 [this file] for the discrimination and calibration results."	docx	Mid- and later-life risk factors for predicting neuropathological brain changes associated with Alzheimer’s and vascular dementia: The Honolulu Asia Aging Study and the Age, Gene/Environment Susceptibility-Reykjavik Study	XML
NIHMS1983043-supplement-Supplemental.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12163906/	https://pmc.ncbi.nlm.nih.gov/articles/instance/12163906/bin/NIHMS1983043-supplement-Supplemental.pdf	No Title	local-data	SD2	No description	Supplemental	supplementary material	.//supplementary-material	"Additional supporting information can be found online in the Supporting Information [this file] section at the end of this article. 
Author disclosures are available in the supporting information [this file] ."	pdf	Mid- and later-life risk factors for predicting neuropathological brain changes associated with Alzheimer’s and vascular dementia: The Honolulu Asia Aging Study and the Age, Gene/Environment Susceptibility-Reykjavik Study	XML
DAD2-16-e12625-s002.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11299072/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11299072/bin/DAD2-16-e12625-s002.pdf	No Title	local-data	dad212625-supitem-0001	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material	Author disclosures are available in the Supporting information [this file] .	pdf	Profiling people with Parkinson's disease at risk of cognitive decline: Insights from PPMI and ICICLE‐PD data	XML
DAD2-16-e12625-s001.docx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11299072/	https://pmc.ncbi.nlm.nih.gov/articles/instance/11299072/bin/DAD2-16-e12625-s001.docx	No Title	local-data	dad212625-supitem-0002	Supporting Information	Supporting  Information	supplementary material	.//supplementary-material	"Full R output including assessment of assumptions, comparisons between alternative models, and final model parameters are provided in Supplementary material 1 (Table S1 [this file] , Figures S1–S3 [this file] ). Good separation of classes was indicated by posterior probabilities that were roughly above 0.7 for each class (Table S2 [this file] ). 
Notably, 50% of participants in Class 4 had dropped out by the second year and only one participant remained in the final year (Table S3 [this file] ). 
Supplementary material 1 (Tables S4–S5 [this file] , Figures S4–S6 [this file] ) details the model selection process and parameters for each model transformation. Good separation of classes was indicated by posterior probabilities that were above 0.7 (Table S6 [this file] ). 
Class 1 and Class 2 had lower attrition rates, with only 20% and 41% of participants dropping out by the final assessment, respectively (Table S7 [this file] ). 
Cumulative survival was significantly different between groups ( = 120.8, < 0.001 Figure S7 [this file] )."	docx	Profiling people with Parkinson's disease at risk of cognitive decline: Insights from PPMI and ICICLE‐PD data	XML
41531_2024_636_MOESM1_ESM.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM1_ESM.pdf	No Title	local-data	MOESM1	Supplementary Materials	Supplementary  Materials	supplementary material	.//supplementary-material	"We limited all our analysis to early-stage idiopathic Parkinson’s disease (PD) patients (i.e., diagnosed <13 months and no known predisposing genetic variation) to age and sex-matched controls, using PPMI as a discovery cohort and ICICLE-PD as a replication cohort (Fig. 1 [rid=Fig1] and Supplementary Table 1 [this file] ). 
Whilst we observed differential expression of specific BSJs, perhaps the more striking observation was an imbalance of BSJ fold changes, i.e., where the expression of the majority of BSJs tended to be reduced in PD compared to controls (PPMI imbalance = 0.09, Bonferroni -value = 9.2 × 10 , ICICLE-PD imbalance = 0.29, Bonferroni -value = 9.4 × 10 , Exact binomial test) (Fig. 4a [rid=Fig4] , Supplementary Data 10 [this file2] ). To explore whether reduced expression was specific to BSJs, we also examined the expression of other RNA types (Supplementary Fig. 7 [this file] , Supplementary Data 10 [this file2] ). Crucially, a reduction was not evident when examining the fold changes of FSJs (PPMI imbalance = 0.54, Bonferroni -value = 1.0, ICICLE-PD imbalance = 0.50, Bonferroni -value = 1.0, Exact binomial test) (Fig. 4a [rid=Fig4] , Supplementary Data 10 [this file2] ). Global gene expression also showed no reduction in PPMI (imbalance = 0.49, Bonferroni -value = 1.0), yet was significantly increased in ICICLE-PD (imbalance = 0.56, Bonferroni -value = 3.6 × 10 ) (Fig. 4a [rid=Fig4] , Supplementary Data 10 [this file2] ). 
This also provided evidence of a significant reduction in circRNA expression in PD (PPMI -value = 4.4 × 10 , ICICLE-PD -value = 8.6 × 10 , Wilcoxon rank-sum test) (Fig. 4b [rid=Fig4] ), yet no reduction in the expression of flanking FSJs, expression of circRNA host genes or total gene expression (Supplementary Fig. 8 [this file] ). 
All other classifiers had an AUC < 0.6 in the PPMI cohort (Fig. 5b [rid=Fig5] , Supplementary Table 2 [this file] ). All other unmentioned models achieved an AUC < 0.6 in the ICICLE-PD cohort (Fig. 5b [rid=Fig5] , Supplementary Table 2 [this file] ). 
Median sequencing depth was estimated as 89.2 (IQR = 15.7) million paired-end reads (Supplementary Fig. 1 [this file] ). 
Median sequencing depth was estimated as 107 (IQR = 31.2) million paired-end reads (Supplementary Figure 1 [this file] ). 
In addition, BSJs were only retained for downstream analysis if they were detected by at least two tools (Supplementary Figure 2 [this file] ). 
Principal component analysis was carried out and the first two principal components and was used to detect mismatches by visual inspection (Supplementary Fig. 3 [this file] ). After QC, the final PPMI dataset comprised of 259 PD and 161 controls; the ICICLE-PD dataset comprised of 48 PD patients and 48 controls (summarised in Supplementary Table 1 [this file] ). We observed no significant differences between the age or sex profiles of cases and controls in either dataset (Supplementary Table 1 [this file] ). 
At the sample level, we used univariate linear regression to identify technical sequencing metrics (obtained from Picard and SAMtools) that explained a high proportion of the variance (R > 0.5) associated with the first 10 principal components of gene and circRNA expression (Supplementary Figs. 4 [this file] a, b and 5a, b [this file] ). At the gene level, based on recommendations , we excluded highly correlated factors (Spearman’s ρ > 0.9, Supplementary Figs. 4 [this file] c and 5c [this file] ), subsequently quantifying the contribution of this reduced set of covariates to gene and circRNA expression variation using variancePartition v1.28.3 (Supplementary Figure 6 [this file] )."	pdf	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML
41531_2024_636_MOESM2_ESM.pdf	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM2_ESM.pdf	No Title	local-data	MOESM2	Reporting Summary	Reporting  Summary	supplementary material	.//supplementary-material	Further information on research design is available in the Nature Research Reporting Summary [this file] linked to this article.	pdf	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML
41531_2024_636_MOESM3_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM3_ESM.xlsx	No Title	local-data	MOESM3	Supplmentary Data 1	Supplmentary  Data  1	supplementary material	.//supplementary-material	"In PPMI, we identified 44 significantly differentially expressed genes (log FC < −0.1/ > 0.1, FDR < 0.05), with 28 upregulated and 16 downregulated in PD (Fig. 2a [rid=Fig2] and Supplementary Data 1 [this file] ). Of these 44, and were similarly upregulated in ICICLE-PD (log FC > 0.1, FDR < 0.05) (Fig. 2a, b [rid=Fig2] and Supplementary Data 1 [this file] ). 
Volcano plot of differential expression in PPMI and ICICLE-PD, highlighted (orange) are the 44 genes significantly differentially expressed in PPMI (FDR < 0.05 and log fold change >0.1/ < −0.1) and the corresponding results in ICICLE-PD (Supplementary Data 1 [this file] ). 
We also observed significantly increased expression of , which encodes PKR, in both cohorts (PPMI -value = 0.010; ICICLE-PD -value = 0.019) (Fig. 4f [rid=Fig4] , Supplementary Data 1 [this file] ). 
This is consistent with our results, where the reduction in circRNAs in PD we observed coincides with increased expression of and (Fig. 4e, f [rid=Fig4] , Supplementary Data 1 [this file] ), as well as the upregulation of genes related to antiviral activity and the innate immune response (Fig. 2c [rid=Fig2] , Supplementary Data 2 [rid=MOESM4] , 3 [rid=MOESM5] )."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML
41531_2024_636_MOESM4_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM4_ESM.xlsx	No Title	local-data	MOESM4	Supplmentary Data 2	Supplmentary  Data  2	supplementary material	.//supplementary-material	"NES = Normalised Enrichment Score (Supplementary Data 2 [this file] ). 
After classifying into GO terms, we identified 97 biological processes, 11 molecular functions and 29 cellular components that were significantly enriched in PPMI and subsequently replicated in ICICLE-PD (FDR < 0.05 with the same direction of enrichment) (Supplementary Data 2 [this file] ). In contrast, ontologies related to the innate immune response, including antiviral and interferon signalling processes, tended to be increased in PD (the top 10 ranked by PPMI -value in each ontology are shown in Fig. 2c [rid=Fig2] with all results present in Supplementary Data 2 [this file] ). 
This, combined with the downregulation of protein synthesis genes and the upregulation of genes involved in the innate immune response (Fig. 2c [rid=Fig2] , Supplementary Data 2 [this file] ), suggests that the antiviral integrated stress response may be active in early-stage idiopathic PD. 
This is consistent with our results, where the reduction in circRNAs in PD we observed coincides with increased expression of and (Fig. 4e, f [rid=Fig4] , Supplementary Data 1 [rid=MOESM3] ), as well as the upregulation of genes related to antiviral activity and the innate immune response (Fig. 2c [rid=Fig2] , Supplementary Data 2 [this file] , 3 [rid=MOESM5] ). Protein synthesis is reduced in PD patient cell lines , consistent with the reduced expression of genes related to protein synthesis and ribosomal function we observed in PD (Fig. 2c [rid=Fig2] , Supplementary Data 2 [this file] , 3 [rid=MOESM5] )."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML
41531_2024_636_MOESM5_ESM.xlsx	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799891/	https://pmc.ncbi.nlm.nih.gov/articles/instance/10799891/bin/41531_2024_636_MOESM5_ESM.xlsx	No Title	local-data	MOESM5	Supplmentary Data 3	Supplmentary  Data  3	supplementary material	.//supplementary-material	"GSEA of KEGG pathways also showed the significant enrichment of the pathways (PPMI FDR = 7.58 × 10 ; ICICLE-PD FDR = 5.57 × 10 ) and (PPMI FDR = 0.0016, ICICLE-PD FDR = 2.27 × 10 ), part of the innate immune response (Supplementary Data 3 [this file] ). 
This is consistent with our results, where the reduction in circRNAs in PD we observed coincides with increased expression of and (Fig. 4e, f [rid=Fig4] , Supplementary Data 1 [rid=MOESM3] ), as well as the upregulation of genes related to antiviral activity and the innate immune response (Fig. 2c [rid=Fig2] , Supplementary Data 2 [rid=MOESM4] , 3 [this file] ). Protein synthesis is reduced in PD patient cell lines , consistent with the reduced expression of genes related to protein synthesis and ribosomal function we observed in PD (Fig. 2c [rid=Fig2] , Supplementary Data 2 [rid=MOESM4] , 3 [this file] )."	xlsx	Early-stage idiopathic Parkinson’s disease is associated with reduced circular RNA expression	XML
